Nome,Long,Lat,Pop
SERRANOPOLIS DO IGUACU,-54.058377,-25.379884,4460
QUINTA DO SOL,-52.135129,-23.843888,4444
CRUZEIRO DO SUL,-52.163978,-22.965175,4430
ITAGUAJE,-51.969340,-22.614783,4426
QUARTO CENTENARIO,-53.075289,-24.279021,4420
NOVA SANTA BARBARA,-50.764147,-23.585424,4304
MARQUINHO,-52.256983,-25.112212,4283
PLANALTINA DO PARANA,-52.917841,-23.018810,4281
CRUZEIRO DO IGUACU,-53.126823,-25.616569,4229
RIO BRANCO DO IVAI,-51.312066,-24.320278,4121
PORTO VITORIA,-51.236695,-26.163475,4057
SANTA MONICA,-53.111273,-23.105424,4052
VIRMOND,-52.202543,-25.378766,4051
QUATRO PONTES,-53.972699,-24.573209,4043
MUNHOZ DE MELO,-51.775758,-23.145693,4034
NOSSA SENHORA DAS GRACAS,-51.795148,-22.910563,4009
KALORE,-51.665142,-23.823439,3996
BOA ESPERANCA,-52.792777,-24.239493,3991
ESPIGAO ALTO DO IGUACU,-52.838213,-25.426670,3980
CAFEZAL DO SUL,-53.511065,-23.904704,3975
LEOPOLIS,-50.755125,-23.079922,3896
CONSELHEIRO MAIRINCK,-50.171773,-23.621562,3891
ATALAIA,-52.055701,-23.151587,3871
CAMPINA DO SIMAO,-51.814787,-25.102578,3831
PRADO FERREIRA,-51.443226,-23.033914,3806
SANTA LUCIA,-53.571144,-25.411320,3795
GUAPIRAMA,-50.042614,-23.516640,3767
RANCHO ALEGRE,-50.916392,-23.075715,3760
CAMPO BONITO,-52.996870,-25.039634,3694
SAO JOSE DAS PALMEIRAS,-54.059918,-24.834082,3601
BOM JESUS DO SUL,-53.599600,-26.192875,3472
NOVA AMERICA DA COLINA,-50.714443,-23.332687,3424
OURIZONA,-52.195039,-23.404568,3423
DIAMANTE DO SUL,-52.688191,-25.035192,3409
BELA VISTA DA CAROBA,-53.666043,-25.879493,3404
SALGADO FILHO,-53.362115,-26.170461,3389
IVATUBA,-52.217669,-23.618274,3299
PITANGUEIRAS,-51.585768,-23.230304,3298
PARANAPOEMA,-52.080724,-22.655622,3277
